Class;Name;Signature;Ret Type
com.github.benmanes.caffeine.SlotLookupBenchmark;selectSlot;int;long
com.github.benmanes.caffeine.TimeBenchmark;nanos_noContention;;long
com.github.benmanes.caffeine.TimeBenchmark;nanos_contention;;long
com.github.benmanes.caffeine.TimeBenchmark;millis_noContention;;long
com.github.benmanes.caffeine.TimeBenchmark;millis_contention;;long
com.github.benmanes.caffeine.cache.BoundedLocalCache.BoundedPolicy.BoundedExpireAfterAccess;getExpiresAfter;TimeUnit;long
com.github.benmanes.caffeine.cache.BoundedLocalCache.BoundedPolicy.BoundedExpireAfterWrite;getExpiresAfter;TimeUnit;long
com.github.benmanes.caffeine.cache.BoundedLocalCache.BoundedPolicy.BoundedRefreshAfterWrite;getExpiresAfter;TimeUnit;long
com.github.benmanes.caffeine.cache.CaffeineSpec;durationInNanos;long,TimeUnit;long
com.github.benmanes.caffeine.cache.SystemTicker;read;;long
com.github.benmanes.caffeine.cache.Node;getVariableTime;;long
com.github.benmanes.caffeine.cache.Node;getAccessTime;;long
com.github.benmanes.caffeine.cache.Node;getWriteTime;;long
com.github.benmanes.caffeine.cache.Ticker;read;;long
com.github.benmanes.caffeine.cache.Ticker;systemTicker;;long
com.github.benmanes.caffeine.cache.Ticker;disabledTicker;;long
com.github.benmanes.caffeine.cache.SystemTicker;read;;long
com.github.benmanes.caffeine.cache.DisabledTicker;read;;long
com.github.benmanes.caffeine.jcache.CacheProxy;nanosToMillis;long;long
