Class;Name;Signature;TimePars
org.apache.kafka.clients.consumer.internals.ConsumerCoordinator;close;long;0,Duration
org.apache.kafka.clients.consumer.internals.ConsumerCoordinator;ConsumerCoordinator;LogContext,ConsumerNetworkClient,String,int,int,int,List,Metadata,SubscriptionState,Metrics,String,Time,long,boolean,int,ConsumerInterceptors,boolean,boolean;14,Duration
org.apache.kafka.clients.consumer.internals.ConsumerCoordinator;maybeAutoCommitOffsetsAsync;long;0,Timestamp
org.apache.kafka.clients.consumer.internals.ConsumerCoordinator;poll;long,long;0,Timestamp
org.apache.kafka.clients.consumer.internals.ConsumerCoordinator;timeToNextPoll;long;0,Timestamp
org.apache.kafka.clients.consumer.internals.ConsumerNetworkClient;awaitPendingRequests;Node,long;1,Duration
org.apache.kafka.clients.consumer.internals.ConsumerNetworkClient;poll;long,long,PollCondition,boolean;1,Timestamp
org.apache.kafka.clients.consumer.internals.ConsumerNetworkClient;poll;long,long;1,Timestamp
org.apache.kafka.clients.consumer.internals.ConsumerNetworkClient;poll;RequestFuture,long;1,Duration
org.apache.kafka.clients.consumer.internals.Fetcher;fetchOffsetsByTimes;Map,long,boolean;1,Duration
org.apache.kafka.clients.consumer.KafkaConsumer;poll;long;0,Duration
org.apache.kafka.clients.consumer.KafkaConsumer;pollOnce;long;0,Duration
org.apache.kafka.clients.consumer.MockConsumer;waitForPollThen;Runnable,long;1,Duration
org.apache.kafka.clients.Metadata;awaitUpdate;int,long;1,Duration
org.apache.kafka.clients.NetworkClientUtils;awaitReady;KafkaClient,Node,Time,long;3,Duration
org.apache.kafka.clients.producer.internals.FutureRecordMetadata;get;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.internals.Metadata;awaitUpdate;int,long;1,Duration
org.apache.kafka.clients.producer.internals.Metadata;fetch;String,long;1,Duration
org.apache.kafka.clients.producer.internals.ProduceRequestResult;await;long,TimeUnit;0,Duration
org.apache.kafka.clients.producer.KafkaProducer;close;long,TimeUnit,boolean;0,Duration
org.apache.kafka.clients.producer.KafkaProducer;waitOnMetadata;String,Integer,long;2,Duration
org.apache.kafka.clients.producer.KafkaProducer;waitOnMetadata;String,long;1,Duration
org.apache.kafka.common.metrics.MetricConfig;timeWindow;long,TimeUnit;0,Duration
org.apache.kafka.common.metrics.Sensor;Sensor;Metrics,String,Sensor[],MetricConfig,Time,long;5,Duration
org.apache.kafka.common.utils.SystemTime;sleep;long;0,Duration
org.apache.kafka.common.utils.Utils;sleep;long;0,Duration
org.apache.kafka.connect.runtime.WorkerSinkTask;WorkerSinkTask;ConnectorTaskId,SinkTask,TaskStatus.Listener,TargetState,WorkerConfig,ConnectMetrics,Converter,Converter,HeaderConverter,TransformationChain,ClassLoader,Time;4,Duration
org.apache.kafka.copycat.runtime.distributed.DistributedHerder;readConfigToEnd;long;0,Duration
org.apache.kafka.copycat.runtime.SourceTaskOffsetCommitter;close;long;0,Duration
org.apache.kafka.copycat.runtime.WorkerSinkTaskThread;WorkerSinkTaskThread;WorkerSinkTask,String,Time,WorkerConfig;3,Duration
org.apache.kafka.copycat.util.ConvertingFutureCallback;get;long,TimeUnit;0,Duration
org.apache.kafka.copycat.util.FutureCallback;get;long,TimeUnit;0,Duration
org.apache.kafka.copycat.util.ShutdownableThread;awaitShutdown;long,TimeUnit;0,Duration
org.apache.kafka.jmh.cache.generated.LRUCacheBenchmark_testCachePerformance_jmhTest;testCachePerformance_avgt_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,LRUCacheBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.cache.generated.LRUCacheBenchmark_testCachePerformance_jmhTest;testCachePerformance_ss_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,int,LRUCacheBenchmark_jmhType;1,Timestamp
org.apache.kafka.jmh.cache.generated.LRUCacheBenchmark_testCachePerformance_jmhTest;testCachePerformance_thrpt_jmhStub;InfraControl,RawResults,BenchmarkParams,IterationParams,ThreadParams,Blackhole,Control,int,LRUCacheBenchmark_jmhType;1,Timestamp
