Class;Name;Signature;Ret Type
org.pf.file.FileLocator;lastModified;;long
org.pf.file.FileLocator;lastModified;;long
org.gudy.azureus2.ui.swt.shells.MessageBoxShell;getAutoCloseInMS;;long
com.aelitis.azureus.ui.UIFunctionsUserPrompter;getAutoCloseInMS;;long
org.gudy.azureus2.ui.swt.views.stats.DHTOpsPanel$ActivityDetail;getCompleteTime;;long
org.gudy.azureus2.pluginsimpl.local.utils.UtilitiesImpl;getCurrentSystemTime;;long
org.gudy.azureus2.plugins.utils.Utilities;getCurrentSystemTime;;long
org.gudy.azureus2.pluginsimpl.local.download.DownloadStubImpl;getCreationDate;;long
org.gudy.azureus2.plugins.download.DownloadStub.DownloadStubEx;getCreationDate;;long
org.gudy.azureus2.pluginsimpl.local.disk.DiskManagerChannelImpl;getStartTime;;long
com.aelitis.azureus.core.peermanager.piecepicker.PieceRTAProvider;getStartTime;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceConnectionEstablished;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceConnectionEstablished;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignDelegate;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.pluginsimpl.local.peers.PeerForeignNetworkConnection$tp;isReadyForRead;EventWaiter;long
com.aelitis.azureus.core.networkmanager.TransportBase;isReadyForRead;EventWaiter;long
org.gudy.azureus2.pluginsimpl.local.messaging.GenericMessageConnectionIndirect;getLastMessageReceivedTime;;long
org.gudy.azureus2.core3.ipfilter.impl.BlockedIpImpl;getBlockedTime;;long
org.gudy.azureus2.core3.ipfilter.BlockedIp;getBlockedTime;;long
org.gudy.azureus2.core3.ipfilter.impl.IpFilterImpl;getLastUpdateTime;;long
org.gudy.azureus2.core3.ipfilter.IpFilter;getLastUpdateTime;;long
org.gudy.azureus2.core3.ipfilter.impl.BadIpImpl;getLastTime;;long
org.gudy.azureus2.core3.ipfilter.BadIp;getLastTime;;long
org.gudy.azureus2.core3.util.TimeFormatter;parseHTTPDate;String;long
org.gudy.azureus2.core3.util.SystemTime;getHighPrecisionCounter;;long
org.gudy.azureus2.core3.util.PausableAverage;getEffectiveTime;;long
org.gudy.azureus2.core3.util.TorrentUtils;getMillisecondsSinceLastTorrentDelete;;long
org.gudy.azureus2.core3.util.Average;getEffectiveTime;;long
org.gudy.azureus2.core3.util.jar.AEJarBuilder;buildFromResourcesSupport;JarOutputStream,ClassLoader,String,String[];long
org.gudy.azureus2.core3.tracker.server.impl.udp.TRTrackerServerProcessorUDP$connectionData;getTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerPeerImpl;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.server.impl.tcp.nonblocking.TRNonBlockingServerProcessor;getStartTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$announceCacheEntry;getTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$QueuedPeer;getCreateTime;;long
org.gudy.azureus2.core3.tracker.server.impl.TRTrackerServerTorrentImpl$QueuedPeer;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.server.TRTrackerServerPeerBase;getSecsToLive;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerMuxer$StatusSummary;getTime;;long
org.gudy.azureus2.core3.tracker.client.impl.dht.TRTrackerDHTAnnouncerImpl;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerHelper;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.dht.TRTrackerDHTAnnouncerImpl;getLastUpdateTime;;long
org.gudy.azureus2.core3.tracker.client.impl.bt.TrackerChecker;getNextScrapeCheckOn;;long
org.gudy.azureus2.core3.tracker.client.impl.bt.TRTrackerBTAnnouncerImpl;getAdjustedSecsToWait;;long
org.gudy.azureus2.core3.tracker.client.impl.bt.TRTrackerBTAnnouncerImpl;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerAnnouncerHelper;getTimeUntilNextUpdate;;long
org.gudy.azureus2.core3.tracker.client.impl.bt.TRTrackerBTAnnouncerImpl;getLastUpdateTime;;long
org.gudy.azureus2.core3.tracker.client.impl.TRTrackerScraperResponseImpl;getScrapeTime;;long
org.gudy.azureus2.core3.tracker.client.TRTrackerScraperResponse;getScrapeTime;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getSnubbedTime;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceLastDataMessageReceived;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceGoodDataReceived;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getTimeSinceLastDataMessageSent;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getTimeSinceLastDataMessageSent;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getTimeSinceConnectionEstablished;;long
org.gudy.azureus2.core3.peer.impl.transport.PEPeerTransportProtocol;getUnchokedForMillis;;long
org.gudy.azureus2.core3.peer.impl.PEPeerTransport;getUnchokedForMillis;;long
